name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 7022,54655,Valid,Lunar (feldsp. breccia),444,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7023,54656,Valid,Eucrite-pmict,473,Found,01/01/2003 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7026,54659,Valid,L6-melt breccia,629,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7032,54665,Valid,Martian (shergottite),85,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7033,54771,Valid,H4-melt breccia,468,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7034,54831,Valid,Martian (basaltic breccia),319.8,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7035,54673,Valid,Eucrite-mmict,816,Found,01/01/2012 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7036,54674,Valid,Eucrite-pmict,95,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7037,54675,Valid,L4,253,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7040,54678,Valid,H3.4,1740,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7041,54679,Valid,LL6,127,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7042,54680,Valid,Martian (shergottite),3033,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7043,54839,Valid,CV3,166,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7044,54685,Valid,H6,1443,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7045,54840,Valid,"Pallasite, PMG",1127,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
